episode,ep_reward,avg_loss,avg_v_now,n_decisions,n_transitions,n_updates,wall_time_s,train_CR,train_WT,train_DU,val_reward_mean,val_reward_std,val_CR,val_WT,val_DU
93,-2404.5110752058254,0.05174784004867236,-2.872969909594454,8977,8977,281,15.955529928207397,0.6146341463414634,5.390838868616137,0.439333754626704,,,,,
94,-2543.0439510467168,0.06570708138888028,-2.90137279073415,8996,8996,282,15.646504878997803,0.6046950890447922,5.701279570812269,0.45536439489034924,,,,,
95,-2301.8262229684487,0.0489746401560897,-2.9275439511947137,8455,8455,265,15.107254028320312,0.6054570259208731,5.413564501623725,0.4305980445084278,,,,,
96,-2418.622123586636,0.04868419266863997,-2.918173763728168,9010,9010,282,15.76217794418335,0.6480383855489698,5.413907457422431,0.4418373256901852,,,,,
97,-2425.146367169175,0.051116892136633396,-2.9512447473841967,8759,8759,274,15.375267028808594,0.6040965207631874,5.57097439287135,0.42548062615320514,,,,,
98,-2559.7798769124784,0.06101091562585364,-2.949113661694974,9003,9003,282,15.77830696105957,0.601481873511511,5.527439489513878,0.4505793348859412,,,,,
99,-2361.474329325046,0.05071332065499914,-2.9262033803276677,8830,8830,276,15.65429401397705,0.6212163287975563,5.3784082425507505,0.43310309542082376,-2342.5502594507716,78.38037720636297,0.6155383497184068,5.388014683936065,0.413001668951297
100,-2245.326458242628,0.053680115151977126,-3.0529368033540307,8251,8251,258,14.60618805885315,0.5811919081465281,5.481487551438925,0.40995091477019185,,,,,
101,-2463.2511894635295,0.06182078967343413,-3.05931746132531,8676,8676,272,15.2638840675354,0.6028502285560634,5.517663830479092,0.46058654261901566,,,,,
102,-2551.605691235286,0.059018806800009406,-3.047124913492782,9284,9284,291,16.40417981147766,0.6143702906350915,5.5008886547507645,0.4437225530890934,,,,,
103,-2196.739862060024,0.05890264748558989,-3.0311114378566817,8128,8128,254,14.112198114395142,0.610740122426266,5.447041893952133,0.4274244191262223,,,,,
104,-2264.4658440899443,0.05949630039924784,-3.0613522930122983,8560,8560,268,15.261727094650269,0.5985256592004536,5.360519522198108,0.3945279082681715,,,,,
105,-2588.371530343803,0.04703346064702297,-3.1617112659189823,9590,9590,300,17.591021060943604,0.6419753086419753,5.507168323904619,0.4335149505543464,,,,,
