episode,ep_reward,avg_loss,avg_q,epsilon,n_transitions,n_completion_bonus,global_abm_step,buffer_size,wall_time_s
110,-2513.324261219796,0.3609169735003344,9.778462673381851,0.24924350000000006,8596,2115,79027,100000,10997.7,-2577.403062434135,90.82211967998943,0.5989964339890853,5.686678575901446,0.426472692510517
111,-2808.0580659456136,0.3659054640557323,9.692566814313409,0.2424130000000001,9432,2282,79746,100000,11149.1
112,-2451.2447672344256,0.3624677347105677,9.814708401847815,0.23558250000000003,8433,2210,80465,100000,11245.3
113,-2690.107697179475,0.359271554369058,9.61691550135073,0.22877100000000006,8840,2118,81182,100000,11346.7
114,-2533.8190169317886,0.3590599456206673,10.259240336879326,0.2219500000000001,9042,2314,81900,100000,11451.0
115,-2584.752992509377,0.36124596689032223,9.973403001807743,0.21511950000000002,8915,2221,82619,100000,11551.9
116,-2585.7969242716445,0.3555795294561462,9.63347671469753,0.20829849999999994,8795,2294,83337,100000,11652.0
117,-2763.1467964748786,0.34955972368640503,9.341861267503488,0.2014680000000001,9202,2232,84056,100000,11756.8
118,-2529.3563033787927,0.358477044300516,9.588009188614015,0.19464700000000001,8628,2192,84774,100000,11855.3
119,-2588.585190922088,0.35815214550296554,9.201038662428653,0.18781650000000005,8824,2260,85493,100000,11956.5
120,-2614.1535196389464,0.35394827133605605,9.725686708422193,0.18099549999999998,8918,2148,86211,100000,12058.1,-2595.3560731660345,92.60034605819456,0.6073849010621981,5.581981278268817,0.4208071767214789
121,-2443.5588793014786,0.351253089891706,9.540857734632056,0.17416500000000013,8522,2122,86930,100000,12200.6
122,-2561.8105464027253,0.3608315730349456,9.90834349218885,0.16733450000000005,9062,2273,87649,100000,12304.6
123,-2447.7832519056633,0.3656158496155724,9.74085860795149,0.16050399999999998,8592,2262,88368,100000,12402.6
124,-2436.9580930451775,0.36053664426231835,9.461465393363268,0.15367350000000002,8465,2167,89087,100000,12500.0
125,-2378.0885454669115,0.3714899127171215,9.534397908885431,0.14684300000000006,8226,2109,89806,100000,12594.6
126,-2533.970805182186,0.36783129173780726,9.489249196650265,0.14002199999999998,8935,2339,90524,100000,12698.1
127,-2488.3096217833063,0.36410356293847557,9.72750556096142,0.133201,8913,2245,91242,100000,12801.0
128,-2364.439008433568,0.3609668748885397,9.667816398083932,0.12639900000000004,8487,2272,91958,100000,12899.0
129,-2504.567459486502,0.36946819585727414,9.232028325606123,0.11956850000000008,8815,2284,92677,100000,13000.8
130,-2557.246269417113,0.36540059132505054,9.506974024876362,0.112738,8873,2192,93396,100000,13101.8,-2545.346009442578,81.49743179583683,0.6165541746385343,5.541148250041523,0.41692110863150544
131,-2541.7927910488215,0.3594814459727623,9.244738229424359,0.10591700000000004,8725,2211,94114,100000,13247.4
132,-2778.4810814535854,0.360154893139649,9.329088050938715,0.09908650000000008,9617,2246,94833,100000,13358.6
133,-2518.774416013735,0.3672779462230118,9.024121443453705,0.092275,8593,2252,95550,100000,13457.8
134,-2733.4683014235075,0.3647487866088042,8.899168646128016,0.08545400000000003,9418,2312,96268,100000,13567.1
135,-2556.4561349950045,0.35844643343655325,9.398408703169933,0.07862350000000007,8979,2218,96987,100000,13671.7
136,-2524.351057386667,0.3690994519413857,9.377931722415967,0.071793,8900,2266,97706,100000,13775.4
