combo_idx,combo_key,param_no_driver_threshold_steps,param_search_radius_km,param_n_drivers,param_p_cancel_per_step,param_patience_scale,param_acceptance_beta_a,CR_mean,CR_std,WT_mean,WT_std,DU_mean,DU_std,cancel_rate_mean,no_driver_rate_mean,acceptance_rate_mean,n_patterns_passed,pom_pass,mape_weighted,pass_threshold,mape_CR,mape_WT,mape_DU,mape_cancel_rate,mape_no_driver_rate,n_seeds,elapsed_s,error
26,acceptance_beta_a=8.0|n_drivers=300|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=16.0|search_radius_km=1.5,1,1.5,300,0.5,16.0,8.0,0.650188116355213,0.017194490262557077,4.282945294831417,0.11765428258060977,0.4394261309681024,0.007078239946660396,0.11209824098968246,0.23352064534509256,0.24410501414799124,0,False,41.082500506970064,False,5.660233206458194,70.27157298806081,30.955138743328646,56.86914172424154,87.20604493691444,3,5.27,
29,acceptance_beta_a=8.0|n_drivers=300|no_driver_threshold_steps=1|p_cancel_per_step=0.7|patience_scale=8.0|search_radius_km=1.5,1,1.5,300,0.7,8.0,8.0,0.6209052067125799,0.010304692932242973,3.3712698771474794,0.14019357531070625,0.41235180647969133,0.015023832169261845,0.20895365985338854,0.16727974552580407,0.2453390578033627,1,False,22.850668994401087,False,0.9015503207286821,34.027260549393176,35.20919385334698,19.60310340492282,34.102830658340295,3,4.95,
28,acceptance_beta_a=6.0|n_drivers=300|no_driver_threshold_steps=1|p_cancel_per_step=0.7|patience_scale=8.0|search_radius_km=1.5,1,1.5,300,0.7,8.0,6.0,0.611573976533087,0.017395726196071853,3.4338275576975072,0.0739162579983052,0.4082023656729956,0.006756406847369132,0.22404991075974487,0.16051979367504443,0.2308719014510107,1,False,21.70637006988381,False,0.614841523519848,36.51428616762656,35.86117502742939,13.794678111279953,28.683593108381704,3,5.06,
31,acceptance_beta_a=6.0|n_drivers=300|no_driver_threshold_steps=1|p_cancel_per_step=0.7|patience_scale=12.0|search_radius_km=1.5,1,1.5,300,0.7,12.0,6.0,0.6433176917141433,0.01900464669836228,3.8676294662184976,0.059674714164712754,0.4171498596317362,0.0082165206009078,0.17188987868625047,0.1815444408979412,0.22628254496919334,1,False,30.165799587891005,False,4.543739915451585,53.76039328420118,34.45529941958806,33.86374370195204,45.538381459004505,3,5.15,
32,acceptance_beta_a=8.0|n_drivers=300|no_driver_threshold_steps=1|p_cancel_per_step=0.7|patience_scale=12.0|search_radius_km=1.5,1,1.5,300,0.7,12.0,8.0,0.6394975503375383,0.01862694294741801,3.7161948540703587,0.011238786894316809,0.42815754765093267,0.018670805663927176,0.16589841649318215,0.18993399262975982,0.25071058172752975,1,False,29.92433490646439,False,3.9229395369451123,47.74000127816332,32.72571567733829,36.16901543888838,52.26401719963223,3,5.19,
33,acceptance_beta_a=4.0|n_drivers=300|no_driver_threshold_steps=1|p_cancel_per_step=0.7|patience_scale=16.0|search_radius_km=1.5,1,1.5,300,0.7,16.0,4.0,0.6361017433612358,0.01764948955790244,4.537977998817626,0.21922503647460098,0.4177116113348216,0.012193370862283604,0.1745943009271752,0.1854446655056531,0.19975242983301644,1,False,33.91072881976181,False,3.3710965425643655,80.41058170328643,34.36703414434195,32.823191670436486,48.66506699079712,3,5.43,
30,acceptance_beta_a=4.0|n_drivers=300|no_driver_threshold_steps=1|p_cancel_per_step=0.7|patience_scale=12.0|search_radius_km=1.5,1,1.5,300,0.7,12.0,4.0,0.6020066196396722,0.027135551209143304,4.209008030338911,0.04565946762370851,0.42138576448180604,0.01691714916565695,0.20750377376247253,0.18732759751398864,0.2001307185161295,1,False,29.940904932323747,False,2.169605652698967,67.33214381936095,33.78973257670323,20.160960789224216,50.17455345887666,3,5.62,
34,acceptance_beta_a=6.0|n_drivers=300|no_driver_threshold_steps=1|p_cancel_per_step=0.7|patience_scale=16.0|search_radius_km=1.5,1,1.5,300,0.7,16.0,6.0,0.6368103411585198,0.0236359956704274,4.1723241595728915,0.20748761406550958,0.42497069115006575,0.010759457547051005,0.14607780601102563,0.21317005440174683,0.23123067854356782,1,False,36.28370826538676,False,3.4862487679392444,65.87375013262424,33.22645072571267,43.79518275514082,70.89162598263842,3,5.49,
35,acceptance_beta_a=8.0|n_drivers=300|no_driver_threshold_steps=1|p_cancel_per_step=0.7|patience_scale=16.0|search_radius_km=1.5,1,1.5,300,0.7,16.0,8.0,0.6582909191356503,0.020039973633119428,4.008698165604113,0.05067844290856627,0.43695479681079563,0.008151915962832806,0.1375418447980111,0.20120559603955082,0.24692905084005232,0,False,34.91273506055745,False,6.976996785906961,59.36868096715515,31.343447293924388,47.079474552010204,61.300101745074144,3,5.61,
37,acceptance_beta_a=6.0|n_drivers=400|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=8.0|search_radius_km=1.5,1,1.5,400,0.5,8.0,6.0,0.7488463622607117,0.00838073059209372,3.3295335365487713,0.16302922712607232,0.38142645477766574,0.01972427803865907,0.14799159666008602,0.09962369411132765,0.23061447672677274,0,False,31.297742436774257,False,21.692905917474146,32.36800228777505,40.06834188097103,43.058833705188356,20.13486546756601,3,6.38,
38,acceptance_beta_a=8.0|n_drivers=400|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=8.0|search_radius_km=1.5,1,1.5,400,0.5,8.0,8.0,0.7581407872023377,0.008376035546471178,3.071871189151133,0.05757892251435694,0.37030812219082504,0.0024017647925057596,0.13935526819359864,0.09908070210861314,0.2498474544048465,0,False,31.3019446266075,False,23.20331664653707,22.12445020595494,41.81531065857354,46.38174275195252,20.570164818123814,3,6.16,
36,acceptance_beta_a=4.0|n_drivers=400|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=8.0|search_radius_km=1.5,1,1.5,400,0.5,8.0,4.0,0.7414822961134222,0.016416484837660613,3.4317456848400734,0.07598359539152225,0.36383883686424195,0.017400894574895364,0.1704597638223638,0.08518838492160279,0.2022886130589502,0,False,32.74409792274435,False,20.496192340437155,36.43151981368218,42.83179756348218,34.41399391968764,31.70719191800196,3,6.48,
39,acceptance_beta_a=4.0|n_drivers=400|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=12.0|search_radius_km=1.5,1,1.5,400,0.5,12.0,4.0,0.7370015268731324,0.03260288796565262,3.8887167678004366,0.3150804759691355,0.38256233317516486,0.02695357644402455,0.13820955755655223,0.12156203130397003,0.2017193385067241,1,False,31.897815020231615,False,19.76803519489084,54.598734136876416,39.88986690910944,46.822565753947934,2.547601042796388,3,6.38,
40,acceptance_beta_a=6.0|n_drivers=400|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=12.0|search_radius_km=1.5,1,1.5,400,0.5,12.0,6.0,0.7876109064549371,0.008591271758721066,3.5291990431538807,0.07993532360068985,0.3787977121597776,0.008927112792770963,0.11423708195345596,0.09523864232889186,0.23183950854334912,0,False,36.70712621260649,False,27.99242243688443,40.30584821873696,40.48138324683546,56.046202437518986,23.650221464549702,3,6.53,
41,acceptance_beta_a=8.0|n_drivers=400|no_driver_threshold_steps=1|p_cancel_per_step=0.5|patience_scale=12.0|search_radius_km=1.5,1,1.5,400,0.5,12.0,8.0,0.7873247576416346,0.01286937865091755,3.350546622398411,0.07989601480797746,0.3833278613853479,0.004863802724234574,0.1074127594764938,0.10114473525804464,0.24993089921553768,0,False,35.17454598702171,False,27.945921201957542,33.2033926405935,39.76958323607501,58.67192504461162,18.915495347881727,3,6.7,
